sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-C8-A12M-01	TCGA-C8-A12M-01	Primary Tumor	1.184	0.24	-0.6379	-0.4261	-2.302	-1.004	1.05	-0.02762	2.823	-0.6493	-0.3135	9.328	0.8144	0.9217
TCGA-AR-A0TT-01	TCGA-AR-A0TT-01	Primary Tumor	1.183	0.194	0.1224	-0.05215	-1.439	3.664	0.5964	-0.3454	1.981	-0.1501	0.661	9.907	-0.4619	1.326
TCGA-AO-A12A-01	TCGA-AO-A12A-01	Primary Tumor	1.171	0.1559	-0.3358	-0.4781	-2.259	0.3622	0.5691	-0.316	2.004	0.3457	0.8971	10.37	0.3479	0.5228
TCGA-PL-A8LX-01	TCGA-PL-A8LX-01	Primary Tumor	1.162	-0.1988	-0.1826	-0.8237	-2.141	-2.03	-0.4786	0.6504	1.805	-0.07556	-0.6263	10.42	-0.1963	-0.3821
TCGA-A2-A0CS-01	TCGA-A2-A0CS-01	Primary Tumor	1.151	0.1823	-0.6286	-0.7292	-1.468	-1.745	0.2543	0.01358	2.346	-0.1106	-0.07635	10.12	-0.03098	0.2607
TCGA-E2-A154-01	TCGA-E2-A154-01	Primary Tumor	1.106	1.354	-0.1096	-0.6991	-2.657	4.695	1.097	-0.002718	1.8	-0.1449	0.1667	9.813	-0.1575	0.6634
TCGA-AR-A0TQ-01	TCGA-AR-A0TQ-01	Primary Tumor	1.106	1.287	0.4657	0.6951	-1.549	-1.462	0.7595	-0.02542	3.24	-0.2676	0.5702	9.68	0.1458	0.692
TCGA-E2-A10A-01	TCGA-E2-A10A-01	Primary Tumor	1.102	1.346	-0.4021	-1.114	0.7569	-0.1771	0.737	0.1779	1.607	0.009041	0.4534	9.805	0.6012	0.6323
TCGA-BH-A0DT-01	TCGA-BH-A0DT-01	Primary Tumor	1.086	0.05871	-0.3158	-0.5606	-2.217	-3.254	0.6897	-0.1634	1.267	0.08334	0.4288	9.711	0.6884	0.5889
TCGA-AC-A2FF-01	TCGA-AC-A2FF-01	Primary Tumor	1.081	0.5627	-0.2422	-0.5675	-0.3407	-1.07	0.8445	-0.1298	-1.175	-0.198	0.5605	8.897	0.3159	0.9131
